Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
The Shining,R,Drama,1980,8.4,927000,Stanley Kubrick,Jack Nicholson,United Kingdom,19000000,46998772,Warner Bros.,13/06/1980
The Blue Lagoon,R,Adventure,1980,5.8,65000,Randal Kleiser,Brooke Shields,United States,4500000,58853106,Columbia Pictures,02/07/1980
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000,Irvin Kershner,Mark Hamill,United States,18000000,538375067,Lucasfilm,20/06/1980
Airplane!,PG,Comedy,1980,7.7,221000,Jim Abrahams,Robert Hays,United States,3500000,83453539,Paramount Pictures,02/07/1980
Caddyshack,R,Comedy,1980,7.3,108000,Harold Ramis,Chevy Chase,United States,6000000,39846344,Orion Pictures,25/07/1980
Friday the 13th,R,Horror,1980,6.4,123000,Sean S. Cunningham,Betsy Palmer,United States,550000,39754601,Paramount Pictures,09/05/1980
The Blues Brothers,R,Action,1980,7.9,188000,John Landis,John Belushi,United States,27000000,115229890,Universal Pictures,20/06/1980
Raging Bull,R,Biography,1980,8.2,330000,Martin Scorsese,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions,19/12/1980
Superman II,PG,Action,1980,6.8,101000,Richard Lester,Gene Hackman,United States,54000000,108185706,Dovemead Films,19/06/1981
The Long Riders,R,Biography,1980,7,10000,Walter Hill,David Carradine,United States,10000000,15795189,United Artists,16/05/1980
Any Which Way You Can,PG,Action,1980,6.1,18000,Buddy Van Horn,Clint Eastwood,United States,15000000,70687344,The Malpaso Company,17/12/1980
The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000,Jamie Uys,N!xau,South Africa,5000000,30031783,C.A.T. Films,26/10/1984
Popeye,PG,Adventure,1980,5.3,30000,Robert Altman,Robin Williams,United States,20000000,49823037,Paramount Pictures,12/12/1980
Ordinary People,R,Drama,1980,7.7,49000,Robert Redford,Donald Sutherland,United States,6000000,54766923,Paramount Pictures,19/09/1980
Dressed to Kill,R,Crime,1980,7.1,37000,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures,25/07/1980
Somewhere in Time,PG,Drama,1980,7.2,27000,Jeannot Szwarc,Christopher Reeve,United States,5100000,9709597,Rastar Pictures,03/10/1980
Fame,R,Drama,1980,6.6,21000,Alan Parker,Eddie Barth,United States,20500000,21202829,Metro-Goldwyn-Mayer (MGM),16/05/1980
9 to 5,PG,Comedy,1980,6.9,29000,Colin Higgins,Jane Fonda,United States,10000000,103300686,IPC Films,19/12/1980
The Fog,R,Horror,1980,6.8,66000,John Carpenter,Adrienne Barbeau,United States,1000000,21448782,AVCO Embassy Pictures,08/02/1980
Stir Crazy,R,Comedy,1980,6.8,26000,Sidney Poitier,Gene Wilder,United States,20500000,101300000,Columbia Pictures,12/12/1980
Cruising,R,Crime,1980,6.5,20000,William Friedkin,Al Pacino,West Germany,11000000,19814523,Lorimar Film Entertainment,15/02/1980
Heaven's Gate,R,Adventure,1980,6.8,14000,Michael Cimino,Kris Kristofferson,United States,44000000,3484523,Partisan Productions,24/04/1981
The Final Countdown,PG,Action,1980,6.7,22000,Don Taylor,Kirk Douglas,United States,12000000,16647800,Bryna Productions,01/08/1980
Xanadu,PG,Fantasy,1980,5.3,12000,Robert Greenwald,Olivia Newton-John,United States,20000000,22762571,Universal Pictures,08/08/1980
Urban Cowboy,PG,Drama,1980,6.4,14000,James Bridges,John Travolta,United States,20500000,46918287,Paramount Pictures,06/06/1980
Altered States,R,Horror,1980,6.9,33000,Ken Russell,William Hurt,United States,20500000,19853892,Warner Bros.,25/12/1980
Little Darlings,R,Comedy,1980,6.5,5100,Ron Maxwell,Tatum O'Neal,United States,20500000,34326249,Stephen Friedman/Kings Road Productions,21/03/1980
Raise the Titanic,PG,Action,1980,5,4100,Jerry Jameson,Jason Robards,United Kingdom,36000000,20205757,ITC Films,01/08/1980
Brubaker,R,Crime,1980,7.2,17000,Stuart Rosenberg,Robert Redford,United States,9000000,37121708,Twentieth Century Fox,20/06/1980
American Gigolo,R,Crime,1980,6.2,22000,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures,01/02/1980
My Bodyguard,PG,Comedy,1980,7.1,8900,Tony Bill,Chris Makepeace,United States,20500000,22482952,Twentieth Century Fox,26/09/1980
Prom Night,R,Horror,1980,5.4,16000,Paul Lynch,Leslie Nielsen,Canada,20500000,14796236,Guardian Trust Company,18/07/1980
Smokey and the Bandit II,PG,Action,1980,5.3,15000,Hal Needham,Burt Reynolds,United States,20500000,66132626,Universal Pictures,15/08/1980
Cattle Annie and Little Britches,PG,Drama,1980,6.1,604,Lamont Johnson,Scott Glenn,United States,5100000,534816,Cattle Annie Productions,24/04/1981
Seems Like Old Times,PG,Comedy,1980,6.7,9100,Jay Sandrich,Goldie Hawn,United States,20500000,43995918,Rastar Films,19/12/1980
Private Benjamin,R,Comedy,1980,6.2,24000,Howard Zieff,Goldie Hawn,United States,10000000,69847348,Warner Bros.,10/10/1980
The Hollywood Knights,R,Comedy,1980,6.3,4300,Floyd Mutrux,Tony Danza,United States,4000000,10000000,PolyGram Filmed Entertainment,30/05/1980
Motel Hell,R,Comedy,1980,6,11000,Kevin Connor,Rory Calhoun,United States,3000000,6342668,Camp Hill,24/10/1980
The Jazz Singer,PG,Drama,1980,5.9,4000,Richard Fleischer,Laurence Olivier,United States,20500000,27118000,EMI Films,19/12/1980
Coal Miner's Daughter,PG,Biography,1980,7.5,17000,Michael Apted,Sissy Spacek,United States,20500000,67182787,Universal Pictures,07/03/1980
The Watcher in the Woods,PG,Family,1980,6.3,5700,John Hough,Bette Davis,United States,20500000,5000000,Walt Disney Productions,09/10/1981
Breaker Morant,PG,Drama,1980,7.9,13000,Bruce Beresford,Edward Woodward,Australia,20500000,20205757,The South Australian Film Corporation,03/07/1980
The Stunt Man,R,Action,1980,7.1,9000,Richard Rush,Peter O'Toole,United States,3500000,7063886,Melvin Simon Productions,27/06/1980
Where the Buffalo Roam,R,Biography,1980,6.6,11000,Art Linson,Peter Boyle,United States,20500000,6659377,Universal Pictures,25/04/1980
The Awakening,R,Horror,1980,4.8,2000,Mike Newell,Charlton Heston,United Kingdom,20500000,8415112,EMI Films,31/10/1980
Cheech and Chong's Next Movie,R,Comedy,1980,6.1,12000,Tommy Chong,Cheech Marin,United States,20500000,41675194,Universal Pictures,18/07/1980
The Island,R,Action,1980,5.3,3900,Michael Ritchie,Michael Caine,United States,22000000,15716828,Universal Pictures,13/06/1980
The Boogey Man,R,Horror,1980,4.6,3900,Ulli Lommel,Suzanna Love,United States,300000,20205757,The Jerry Gross Organization,07/11/1980
The Nude Bomb,PG,Action,1980,5.1,3100,Clive Donner,Don Adams,United States,15000000,14662035,Universal Pictures,09/05/1980
Lion of the Desert,PG,Biography,1980,8.3,15000,Moustapha Akkad,Anthony Quinn,Libya,35000000,20205757,Falcon International Productions,16/05/1981
Stardust Memories,PG,Comedy,1980,7.3,22000,Woody Allen,Woody Allen,United States,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,26/09/1980
Melvin and Howard,R,Comedy,1980,6.8,4500,Jonathan Demme,Paul Le Mat,United States,7000000,4309490,Universal Pictures,19/09/1980
Can't Stop the Music,PG,Biography,1980,4.2,3700,Nancy Walker,Ray Simpson,United States,20000000,20205757,EMI Films,20/06/1980
Bronco Billy,PG,Action,1980,6.1,11000,Clint Eastwood,Clint Eastwood,United States,6500000,24265659,Warner Bros.,11/06/1980
City of Women,R,Comedy,1980,7,6700,Federico Fellini,Marcello Mastroianni,Italy,20500000,12516,Opera Film Produzione,08/04/1981
The Private Eyes,PG,Comedy,1980,6.7,2900,Lang Elliott,Tim Conway,United States,20500000,20205757,Tri Star Productions,21/11/1980
When Time Ran Out...,PG,Action,1980,4.6,2600,James Goldstone,Paul Newman,United States,20000000,3763988,International Cinema,28/03/1980
Oh Heavenly Dog,PG,Comedy,1980,5.4,2400,Joe Camp,Chevy Chase,United States,6000000,6216067,Mulberry Square Productions,11/07/1980
The Octagon,R,Action,1980,5.1,5200,Eric Karson,Chuck Norris,United States,4000000,18971000,American Cinema Productions,15/08/1980
Hangar 18,PG,Sci-Fi,1980,5.3,2400,James L. Conway,Darren McGavin,United States,11000000,20205757,Sunn Classic Pictures,13/03/1981
Herbie Goes Bananas,G,Adventure,1980,5,5300,Vincent McEveety,Charles Martin Smith,United States,20500000,18000000,Walt Disney Productions,25/06/1980
The Competition,PG,Drama,1980,6.7,1900,Joel Oliansky,Richard Dreyfuss,United States,20500000,14287755,Rastar Films,03/12/1980
It's My Turn,R,Comedy,1980,5.5,875,Claudia Weill,Jill Clayburgh,United States,20500000,20205757,Rastar Films,05/02/1981
Honeysuckle Rose,PG,Drama,1980,6.3,1400,Jerry Schatzberg,Willie Nelson,United States,20500000,17815212,Major Studio Partners,18/07/1980
Resurrection,PG,Drama,1980,7.3,2800,Daniel Petrie,Ellen Burstyn,United States,20500000,3910019,Universal Pictures,26/09/1980
Fatso,PG,Comedy,1980,6.3,2000,Anne Bancroft,Dom DeLuise,United States,20500000,7653061,Brooksfilms,01/02/1980
Moscow Does Not Believe in Tears,PG,Comedy,1980,8.1,12000,Vladimir Menshov,Vera Alentova,Soviet Union,900000,20205757,Mosfilm,11/02/1980
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,5.1,2000,Piers Haggard,Peter Sellers,United States,20500000,10697276,Braun Entertainment Group,08/08/1980
Serial,R,Comedy,1980,6.6,915,Bill Persky,Martin Mull,United States,20500000,9870727,Paramount Pictures,28/03/1980
Hero at Large,PG,Comedy,1980,6,1500,Martin Davidson,John Ritter,United States,20500000,15934737,Kings Road Entertainment,08/02/1980
Wholly Moses!,PG,Comedy,1980,4.7,1800,Gary Weis,Dudley Moore,United States,20500000,14155617,Columbia Pictures,13/06/1980
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,7.3,2900,Bill Melendez,Scott Beach,United States,20500000,2013193,Lee Mendelson Film Productions,30/05/1980
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,5.5,965,Marty Feldman,Marty Feldman,United States,20500000,5215015,Universal Pictures,26/09/1980
Roadie,PG,Comedy,1980,5.2,1100,Alan Rudolph,Meat Loaf,United States,20500000,4226370,Alive Enterprises,13/06/1980
Just Tell Me What You Want,R,Comedy,1980,5.5,585,Sidney Lumet,Ali MacGraw,United States,20500000,2086905,Warner Bros.,18/01/1980
The Last Flight of Noah's Ark,G,Adventure,1980,5.8,1300,Charles Jarrott,Elliott Gould,United States,6000000,11000000,Walt Disney Productions,25/06/1980
Little Miss Marker,PG,Comedy,1980,6.3,1400,Walter Bernstein,Walter Matthau,United States,20500000,6321392,Universal Pictures,21/03/1980
Willie & Phil,R,Comedy,1980,5.9,415,Paul Mazursky,Michael Ontkean,United States,5500000,4400000,Twentieth Century Fox,15/08/1980
Windwalker,PG,Adventure,1980,6.9,1000,Kieth Merrill,Trevor Howard,United States,3000000,20205757,Santa Fe International,18/11/1983
Phobia,R,Drama,1980,4,546,John Huston,Paul Michael Glaser,Canada,5100000,59167,Borough Park Productions,09/09/1980
Windows,R,Drama,1980,4.8,643,Gordon Willis,Talia Shire,United States,20500000,2128395,Mike Lobell Productions,18/01/1980
Loving Couples,PG,Comedy,1980,5.2,351,Jack Smight,Shirley MacLaine,United States,20500000,2806659,Time Life Films,24/10/1980
The King and the Mockingbird,Not Rated,Animation,1980,7.9,4800,Paul Grimault,Jean Martin,France,20500000,167451,Les Films Paul Grimault,19/03/1980
"Oh, God! Book II",PG,Comedy,1980,5.2,2100,Gilbert Cates,George Burns,United States,20500000,14504277,Warner Bros.,03/10/1980
"Those Lips, Those Eyes",R,Comedy,1980,6.5,269,Michael Pressman,Frank Langella,United States,20500000,804713,Herb Jaffe,15/08/1980
La Cage aux Folles II,R,Comedy,1980,5.8,1900,Édouard Molinaro,Michel Serrault,France,20500000,6950125,Da.Ma. Cinematografica,15/02/1981
The Gong Show Movie,R,Comedy,1980,4.3,740,Chuck Barris,Chuck Barris,United States,20500000,6621520,Chuck Barris Productions,23/05/1980
Gilda Live,R,Comedy,1980,6.8,599,Mike Nichols,Gilda Radner,United States,20500000,2261507,Broadway Productions,28/03/1980
Why Would I Lie?,PG,Comedy,1980,6.5,211,Larry Peerce,Treat Williams,United States,20500000,1175855,Metro-Goldwyn-Mayer (MGM),08/08/1980
First Family,R,Comedy,1980,4.3,593,Buck Henry,Bob Newhart,United States,20500000,15198912,F.F. Associates,25/12/1980
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,905000,Steven Spielberg,Harrison Ford,United States,18000000,389925971,Paramount Pictures,12/06/1981
Body Heat,R,Crime,1981,7.4,32000,Lawrence Kasdan,William Hurt,United States,20500000,24058838,The Ladd Company,28/08/1981
An American Werewolf in London,R,Comedy,1981,7.5,97000,John Landis,David Naughton,United Kingdom,10000000,30669378,Polygram Pictures,21/08/1981
Escape from New York,R,Action,1981,7.2,131000,John Carpenter,Kurt Russell,United States,6000000,25244626,AVCO Embassy Pictures,10/07/1981
The Evil Dead,NC-17,Horror,1981,7.5,192000,Sam Raimi,Bruce Campbell,United States,350000,2956630,Renaissance Pictures,15/04/1983
Porky's,R,Comedy,1981,6.2,40000,Bob Clark,Dan Monahan,Canada,2500000,111289673,Astral Bellevue Pathé,19/03/1982
Blow Out,R,Crime,1981,7.4,47000,Brian De Palma,John Travolta,United States,18000000,12000000,Filmways Pictures,24/07/1981
Clash of the Titans,PG,Action,1981,6.9,42000,Desmond Davis,Laurence Olivier,United Kingdom,15000000,41092328,Charles H. Schneer Productions,12/06/1981
Excalibur,R,Adventure,1981,7.4,59000,John Boorman,Nigel Terry,United Kingdom,11000000,34971136,Cinema '84,10/04/1981
Mad Max 2,R,Action,1981,7.6,170000,George Miller,Mel Gibson,Australia,3000000,23668369,Kennedy Miller Productions,21/05/1982
Stripes,R,Comedy,1981,6.9,68000,Ivan Reitman,Bill Murray,United States,10000000,85297000,Columbia Pictures,26/06/1981
Possession,R,Drama,1981,7.4,27000,Andrzej Zulawski,Isabelle Adjani,France,20500000,1113538,Gaumont,28/10/1983
The Cannonball Run,PG,Action,1981,6.2,34000,Hal Needham,Burt Reynolds,United States,18000000,72179579,Golden Harvest Company,19/06/1981
Thief,R,Action,1981,7.4,27000,Michael Mann,James Caan,United States,5500000,11492915,Mann/Caan Productions,27/03/1981
Endless Love,R,Drama,1981,4.9,7600,Franco Zeffirelli,Brooke Shields,United States,20500000,32492674,PolyGram Filmed Entertainment,17/07/1981
Time Bandits,PG,Adventure,1981,7,60000,Terry Gilliam,Sean Connery,United Kingdom,5000000,42368025,HandMade Films,06/11/1981
The Four Seasons,PG,Comedy,1981,6.8,4200,Alan Alda,Alan Alda,United States,20500000,50427646,Universal Pictures,22/05/1981
Friday the 13th Part 2,R,Horror,1981,6.1,61000,Steve Miner,Betsy Palmer,United States,1250000,21722776,Georgetown Productions Inc.,01/05/1981
Scanners,R,Horror,1981,6.8,51000,David Cronenberg,Jennifer O'Neill,Canada,20500000,14225876,Canadian Film Development Corporation (CFDC),14/01/1981
For Your Eyes Only,PG,Action,1981,6.7,94000,John Glen,Roger Moore,United Kingdom,28000000,54813222,Eon Productions,26/06/1981
Halloween II,R,Horror,1981,6.5,77000,Rick Rosenthal,Jamie Lee Curtis,United States,2500000,25533818,Dino De Laurentiis Company,30/10/1981
Taps,PG,Drama,1981,6.8,17000,Harold Becker,George C. Scott,United States,14000000,35856053,Major Studio Partners,25/12/1981
Reds,PG,Biography,1981,7.3,21000,Warren Beatty,Warren Beatty,United States,32000000,40382659,Barclays Mercantile Industrial Finance,25/12/1981
On Golden Pond,PG,Drama,1981,7.6,29000,Mark Rydell,Katharine Hepburn,United States,20500000,119285432,IPC Films,12/02/1982
The Fox and the Hound,G,Animation,1981,7.3,87000,Directors,Mickey Rooney,United States,12000000,63456988,Walt Disney Animation Studios,10/07/1981
Chariots of Fire,PG,Biography,1981,7.2,56000,Hugh Hudson,Ben Cross,United Kingdom,5500000,59303359,Enigma Productions,09/04/1982
Absence of Malice,PG,Drama,1981,6.9,12000,Sydney Pollack,Paul Newman,United States,12000000,40716963,Columbia Pictures,18/12/1981
Tarzan the Ape Man,Approved,Adventure,1981,3.4,5300,John Derek,Bo Derek,United States,6500000,36565280,Metro-Goldwyn-Mayer (MGM),24/07/1981
Victory,PG,Drama,1981,6.7,29000,John Huston,Michael Caine,United Kingdom,10000000,10853418,Lorimar Film Entertainment,31/07/1981
Arthur,PG,Comedy,1981,6.9,27000,Steve Gordon,Dudley Moore,United States,7000000,95461682,Orion Pictures,17/07/1981
My Dinner with Andre,PG,Biography,1981,7.8,19000,Louis Malle,Andre Gregory,United States,20500000,5073,Saga Productions Inc.,11/10/1981
Caveman,PG,Comedy,1981,5.8,7300,Carl Gottlieb,Ringo Starr,United States,20500000,15965924,Estudios Churubusco Azteca S.A.,17/04/1981
Dead & Buried,R,Horror,1981,6.6,11000,Gary Sherman,James Farentino,United States,3000000,20205757,Aspen Productions (I),09/10/1981
History of the World: Part I,R,Comedy,1981,6.9,47000,Mel Brooks,Mel Brooks,United States,11000000,31672907,Brooksfilms,12/06/1981
The Howling,R,Horror,1981,6.6,32000,Joe Dante,Dee Wallace,United States,1000000,17985893,Embassy Pictures,10/04/1981
Dragonslayer,PG,Action,1981,6.7,16000,Matthew Robbins,Peter MacNicol,United Kingdom,18000000,14110013,Paramount Pictures,26/06/1981
Cutter's Way,R,Crime,1981,6.9,5300,Ivan Passer,Jeff Bridges,United States,3000000,1752634,Gurian Entertainment,10/02/1982
Quest for Fire,R,Adventure,1981,7.3,21000,Jean-Jacques Annaud,Everett McGill,Canada,12500000,20962615,International Cinema Corporation (ICC),12/02/1982
The Final Conflict,R,Horror,1981,5.6,19000,Graham Baker,Sam Neill,United Kingdom,5000000,20471382,Twentieth Century Fox,20/03/1981
Mommie Dearest,R,Biography,1981,6.7,15000,Frank Perry,Faye Dunaway,United States,5000000,19032261,Paramount Pictures,25/09/1981
Private Lessons,R,Comedy,1981,5.2,3400,Alan Myerson,Sylvia Kristel,United States,2800000,26279000,Barry & Enright Productions,10/06/1981
The Postman Always Rings Twice,R,Crime,1981,6.6,22000,Bob Rafelson,Jack Nicholson,West Germany,12000000,12376625,CIP Filmproduktion GmbH,20/03/1981
Ragtime,PG,Drama,1981,7.3,9000,Milos Forman,James Cagney,United States,20500000,14920781,Dino De Laurentiis Company,25/12/1981
Deadly Blessing,R,Horror,1981,5.6,5200,Wes Craven,Maren Jensen,United States,2500000,8279042,PolyGram Filmed Entertainment,14/08/1981
Eyewitness,R,Crime,1981,6,4500,Peter Yates,William Hurt,United States,8500000,6400000,Twentieth Century Fox,13/02/1981
Gallipoli,PG,Adventure,1981,7.4,38000,Peter Weir,Mel Gibson,Australia,20500000,5732587,R&R Films,28/08/1981
Outland,R,Action,1981,6.6,28000,Peter Hyams,Sean Connery,United Kingdom,16000000,17374595,The Ladd Company,22/05/1981
Southern Comfort,R,Action,1981,7.2,17000,Walter Hill,Keith Carradine,United States,20500000,20205757,Cinema Group Ventures,25/09/1981
S.O.B.,R,Comedy,1981,6.4,5700,Blake Edwards,Julie Andrews,United States,12000000,14867086,Artista Management,01/07/1981
The Beyond,R,Horror,1981,6.8,21000,Lucio Fulci,Catriona MacColl,Italy,400000,123843,Fulvia Film,11/11/1983
Ghost Story,R,Drama,1981,6.3,7900,John Irvin,Craig Wasson,United States,20500000,23371905,Universal Pictures,18/12/1981
My Bloody Valentine,R,Horror,1981,6.3,19000,George Mihalka,Paul Kelman,Canada,20500000,5672031,Canadian Film Development Corporation (CFDC),11/02/1981
The Funhouse,R,Horror,1981,5.9,13000,Tobe Hooper,Elizabeth Berridge,United States,20500000,7886857,Universal Pictures,13/03/1981
One from the Heart,R,Drama,1981,6.5,5700,Francis Ford Coppola,Frederic Forrest,United States,26000000,636796,Zoetrope Studios,11/02/1982
The French Lieutenant's Woman,R,Drama,1981,7,13000,Karel Reisz,Meryl Streep,United Kingdom,20500000,26890068,Juniper Films,16/10/1981
The Great Muppet Caper,G,Adventure,1981,7.2,14000,Jim Henson,Jim Henson,United Kingdom,20500000,31206251,Henson Associates (HA),26/06/1981
True Confessions,R,Crime,1981,6.3,7500,Ulu Grosbard,Robert De Niro,United States,10000000,12850276,Chartoff-Winkler Productions,25/09/1981
Looker,PG,Drama,1981,6.1,4900,Michael Crichton,Albert Finney,United States,8000000,20205757,The Ladd Company,30/10/1981
Nighthawks,R,Action,1981,6.4,18000,Bruce Malmuth,Sylvester Stallone,United States,5000000,19905359,Universal Pictures,10/04/1981
Nice Dreams,R,Comedy,1981,6.2,7100,Tommy Chong,Cheech Marin,United States,20500000,37000000,C & C Brown Production,05/06/1981
Sharky's Machine,R,Action,1981,6.3,5600,Burt Reynolds,Burt Reynolds,United States,20500000,35610100,Deliverance Productions,18/12/1981
Neighbors,R,Comedy,1981,5.6,7600,John G. Avildsen,John Belushi,United States,8500000,29916207,Columbia Pictures,18/12/1981
Puberty Blues,R,Comedy,1981,5.9,1300,Bruce Beresford,Nell Schofield,Australia,20500000,237000,Limelight Productions (II),10/12/1981
Eye of the Needle,R,Romance,1981,7.1,9900,Richard Marquand,Donald Sutherland,United Kingdom,20500000,17583634,Kings Road Entertainment,24/07/1981
Wolfen,R,Horror,1981,6.3,9400,Michael Wadleigh,Albert Finney,United States,17000000,10626725,Orion Pictures,24/07/1981
Student Bodies,R,Comedy,1981,5.5,4400,Mickey Rose,Kristen Riter,United States,20500000,5165432,Allen Smithee Classic Films,07/08/1981
Prince of the City,R,Crime,1981,7.5,7600,Sidney Lumet,Treat Williams,United States,8600000,8124257,Orion Pictures,26/08/1981
The Hand,R,Drama,1981,5.5,5700,Oliver Stone,Michael Caine,United States,20500000,2447576,Orion Pictures,24/04/1981
Continental Divide,PG,Comedy,1981,6.2,4800,Michael Apted,John Belushi,United States,20500000,15578237,Universal Pictures,18/09/1981
Diva,R,Music,1981,7.2,12000,Jean-Jacques Beineix,Wilhelmenia Fernandez,France,20500000,110014,Les Films Galaxie,23/04/1982
Venom,R,Horror,1981,5.8,2600,Piers Haggard,Klaus Kinski,United Kingdom,20500000,5229643,Morison Film Group,29/01/1982
Fort Apache the Bronx,R,Crime,1981,6.7,5800,Daniel Petrie,Paul Newman,United States,20500000,29200000,Time Life Films,06/02/1981
Eyes of a Stranger,R,Horror,1981,6,2400,Ken Wiederhorn,Lauren Tewes,United States,800000,1118634,Georgetown Productions Inc.,27/03/1981
Zorro: The Gay Blade,PG,Action,1981,6.2,4100,Peter Medak,George Hamilton,United States,20500000,20205757,Melvin Simon Productions,17/07/1981
Under the Rainbow,PG,Comedy,1981,5.4,2600,Steve Rash,Chevy Chase,United States,20000000,18826490,Innovisions,31/07/1981
Carbon Copy,PG,Comedy,1981,5.6,2600,Michael Schultz,George Segal,United States,6000000,9566593,DeHaven/Shapiro Productions,25/09/1981
The Incredible Shrinking Woman,PG,Comedy,1981,5.5,4500,Joel Schumacher,Lily Tomlin,United States,20500000,20259961,Lija Productions,30/01/1981
The Night the Lights Went Out in Georgia,PG,Drama,1981,6,891,Ron Maxwell,Kristy McNichol,United States,20500000,14923752,Viacom Enterprises,05/06/1981
Quartet,R,Drama,1981,6.3,1300,James Ivory,Isabelle Adjani,United Kingdom,20500000,12042,Merchant Ivory Productions,25/10/1981
Graduation Day,R,Horror,1981,4.9,3600,Herb Freed,Christopher George,United States,250000,20205757,Baughn/Freed Productions,01/05/1981
Modern Problems,PG,Comedy,1981,5.1,4900,Ken Shapiro,Chevy Chase,United States,8000000,26154211,Twentieth Century Fox,25/12/1981
Pennies from Heaven,R,Drama,1981,6.5,5300,Herbert Ross,Steve Martin,United States,22000000,9171289,Metro-Goldwyn-Mayer (MGM),01/01/1982
American Pop,R,Animation,1981,7.2,4400,Ralph Bakshi,Mews Small,United States,1500000,20205757,Bakshi Productions,13/02/1981
The Legend of the Lone Ranger,PG,Action,1981,5.1,2000,William A. Fraker,Klinton Spilsbury,United States,18000000,12617845,Eaves Movie Ranch,22/05/1981
Sphinx,PG,Adventure,1981,5.2,1300,Franklin J. Schaffner,Lesley-Anne Down,United Kingdom,14000000,2022771,Orion Pictures,11/02/1981
Night School,R,Horror,1981,5.6,2400,Ken Hughes,Leonard Mann,United States,20500000,1169875,Lorimar Productions,11/09/1981
An Eye for an Eye,R,Action,1981,5.5,3600,Steve Carver,Chuck Norris,United States,3800000,20205757,Adams Apple Film Company,14/08/1981
Zoot Suit,R,Drama,1981,6.8,1100,Luis Valdez,Daniel Valdez,United States,2700000,3256082,Universal Pictures,01/01/1982
Rich and Famous,R,Drama,1981,5.9,1600,George Cukor,Jacqueline Bisset,United States,20500000,14492125,Jaquet,09/10/1981
Buddy Buddy,R,Comedy,1981,6.5,4500,Billy Wilder,Jack Lemmon,United States,10000000,7258543,Heron Productions,11/12/1981
Bustin' Loose,R,Comedy,1981,6.1,2900,Oz Scott,Richard Pryor,United States,11000000,31261269,Universal Pictures,22/05/1981
Modern Romance,R,Comedy,1981,7,3600,Albert Brooks,Albert Brooks,United States,20500000,2863642,Columbia Pictures,13/03/1981
Heartbeeps,PG,Comedy,1981,4.3,1300,Allan Arkush,Andy Kaufman,United States,12000000,2154696,Universal Pictures,18/12/1981
Back Roads,R,Adventure,1981,5.6,829,Martin Ritt,Sally Field,United States,20500000,11809387,CBS Theatrical Films,13/03/1981
Take This Job and Shove It,PG,Comedy,1981,5,761,Gus Trikonis,Robert Hays,United States,3500000,17569027,Cinema Group Ventures,15/05/1981
Raggedy Man,R,Drama,1981,6.8,1400,Jack Fisk,Sissy Spacek,United States,20500000,1976198,Universal Pictures,18/09/1981
Whose Life Is It Anyway?,R,Comedy,1981,7.3,2700,John Badham,Richard Dreyfuss,United States,13000000,8206145,Metro-Goldwyn-Mayer (MGM),22/01/1982
Inchon,PG,Drama,1981,2.7,659,Terence Young,Laurence Olivier,South Korea,46000000,5200986,One Way Productions,17/09/1982
All Night Long,R,Comedy,1981,5.5,1700,Jean-Claude Tramont,Gene Hackman,United States,14000000,4454295,Universal Pictures,06/03/1981
The Pursuit of D.B. Cooper,PG,Adventure,1981,5.6,1100,Roger Spottiswoode,Robert Duvall,United States,12000000,3702028,PolyGram Pictures,13/11/1981
Rollover,R,Drama,1981,5.4,1100,Alan J. Pakula,Jane Fonda,United States,16000000,10851261,IPC Films,11/12/1981
Only When I Laugh,R,Comedy,1981,6.5,1300,Glenn Jordan,Marsha Mason,United States,20500000,25524778,Columbia Pictures,25/09/1981
Honky Tonk Freeway,PG,Action,1981,5.2,928,John Schlesinger,David Rasche,United States,24000000,2004742,EMI Films,21/08/1981
Paternity,PG,Comedy,1981,4.9,920,David Steinberg,Burt Reynolds,United States,20500000,18838812,Paramount Pictures,02/10/1981
King of the Mountain,PG,Action,1981,5.5,384,Noel Nosseck,Harry Hamlin,United States,2000000,1791147,PolyGram Pictures,01/05/1981
Scream,R,Horror,1981,2.9,674,Byron Quisenberry,Pepper Martin,United States,20500000,20205757,Calendar International Pictures,01/01/1981
The Devil and Max Devlin,PG,Comedy,1981,5,1200,Steven Hilliard Stern,Elliott Gould,United States,20500000,16000000,Walt Disney Productions,06/03/1981
The Amateur,R,Crime,1981,5.8,782,Charles Jarrott,John Savage,Canada,20500000,6892098,Balkan Productions,12/02/1982
Comin' at Ya!,R,Western,1981,5.1,499,Ferdinando Baldi,Tony Anthony,Italy,20500000,12000000,Lupo-Anthony-Quintano Productions,24/07/1981
Le Pont du Nord,Not Rated,Adventure,1981,6.9,1100,Jacques Rivette,Bulle Ogier,France,20500000,17110,Les Films du Losange,24/03/1982
