Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
Angela's Ashes,R,Biography,1999,7.3,21000,Alan Parker,Emily Watson,United States,50000000,13042112,David Brown Productions,21/01/2000
Universal Soldier: the Return,R,Action,1999,4.2,28000,Mic Rodgers,Jean-Claude Van Damme,United States,45000000,10667893,TriStar Pictures,20/08/1999
Anna and the King,PG-13,Drama,1999,6.7,36000,Andy Tennant,Jodie Foster,United States,92000000,113996937,Fox 2000 Pictures,17/12/1999
Humanity,Not Rated,Drama,1999,6.9,4300,Bruno Dumont,Emmanuel Schotté,France,20500000,20205757,3B Productions,27/10/1999
The End of the Affair,R,Drama,1999,7.1,22000,Neil Jordan,Ralph Fiennes,United Kingdom,23000000,10827816,Columbia Pictures,21/01/2000
"Mystery, Alaska",R,Comedy,1999,6.7,26000,Jay Roach,Russell Crowe,Canada,28000000,8891623,Baldwin/Cohen Productions,01/10/1999
Baby Geniuses,PG,Comedy,1999,2.7,26000,Bob Clark,Kathleen Turner,United States,12000000,36450736,Crystal Sky Worldwide,12/03/1999
My Favorite Martian,PG,Comedy,1999,5.1,13000,Donald Petrie,Christopher Lloyd,United States,65000000,36850101,Walt Disney Pictures,12/02/1999
Beau travail,Unrated,Drama,1999,7.4,9500,Claire Denis,Denis Lavant,France,20500000,20205757,La Sept-Arte,03/05/2000
Anywhere But Here,PG-13,Comedy,1999,6.2,17000,Wayne Wang,Susan Sarandon,United States,23000000,23631929,Fox 2000 Pictures,12/11/1999
Ride with the Devil,R,Drama,1999,6.7,13000,Ang Lee,Tobey Maguire,United States,38000000,635096,Universal Pictures,05/11/1999
200 Cigarettes,R,Comedy,1999,6,15000,Risa Bramon Garcia,Ben Affleck,United States,6000000,6852450,Dogstar Films,26/02/1999
Edtv,PG-13,Comedy,1999,6.1,42000,Ron Howard,Matthew McConaughey,United States,80000000,35242897,Imagine Entertainment,26/03/1999
Sunshine,R,Drama,1999,7.5,13000,István Szabó,Ralph Fiennes,Germany,20500000,7918035,Alliance Atlantis Communications,14/07/2000
Random Hearts,R,Drama,1999,5.2,20000,Sydney Pollack,Harrison Ford,United States,64000000,74608570,Columbia Pictures,08/10/1999
Mickey Blue Eyes,PG-13,Comedy,1999,5.9,36000,Kelly Makin,Hugh Grant,United Kingdom,75000000,54264342,Castle Rock Entertainment,20/08/1999
Asterix and Obelix vs. Caesar,Not Rated,Adventure,1999,6,40000,Claude Zidi,Christian Clavier,France,20500000,1632567,AMLF,14/07/2000
Fantasia 2000,G,Animation,1999,7.2,36000,Directors,James Levine,United States,80000000,90874570,Walt Disney Pictures,16/06/2000
The Rage: Carrie 2,R,Horror,1999,4.7,16000,Katt Shea,Emily Bergl,United States,21000000,17762705,United Artists,12/03/1999
The Astronaut's Wife,R,Drama,1999,5.4,54000,Rand Ravich,Charlize Theron,United States,75000000,19598588,New Line Cinema,27/08/1999
Muppets from Space,G,Adventure,1999,6.3,18000,Tim Hill,Dave Goelz,United States,24000000,22323612,Jim Henson Pictures,14/07/1999
The Wind Will Carry Us,Not Rated,Drama,1999,7.5,9600,Abbas Kiarostami,Behzad Dorani,Iran,20500000,259510,MK2 Productions,24/11/1999
Eye of the Beholder,R,Drama,1999,5,15000,Stephan Elliott,Ewan McGregor,Canada,35000000,17589705,Ambridge Film Partnership,28/01/2000
The Wood,R,Comedy,1999,7,8700,Rick Famuyiwa,Elayn J. Taylor,United States,6000000,25059640,Bona Fide Productions,16/07/1999
Flawless,R,Comedy,1999,6.5,18000,Joel Schumacher,Robert De Niro,United States,15000000,4488529,Tribeca Productions,24/11/1999
Love Stinks,R,Comedy,1999,5.8,5000,Jeff Franklin,French Stewart,United States,4000000,2924635,Baumgarten-Prophet Entertainment,10/09/1999
Pushing Tin,R,Comedy,1999,6,29000,Mike Newell,John Cusack,United States,33000000,8408835,3 Miles Apart Productions Ltd.,23/04/1999
The Adventures of Elmo in Grouchland,G,Adventure,1999,5.8,3100,Gary Halvorson,Kevin Clash,United States,26000000,11683047,Jim Henson Pictures,01/10/1999
In Dreams,R,Drama,1999,5.5,13000,Neil Jordan,Annette Bening,United States,30000000,12017369,Amblin Entertainment,15/01/1999
Topsy-Turvy,R,Biography,1999,7.4,12000,Mike Leigh,Jim Broadbent,United Kingdom,20500000,6208548,Goldwyn Films,11/02/2000
Instinct,R,Drama,1999,6.6,32000,Jon Turteltaub,Anthony Hopkins,United States,80000000,34105207,Spyglass Entertainment,04/06/1999
Dudley Do-Right,PG,Comedy,1999,3.9,10000,Hugh Wilson,Brendan Fraser,United States,70000000,9974410,Universal Pictures,27/08/1999
The Deep End of the Ocean,PG-13,Drama,1999,6.4,13000,Ulu Grosbard,Michelle Pfeiffer,United States,38000000,28121100,Columbia Pictures,12/03/1999
Outside Providence,R,Comedy,1999,6.4,8600,Michael Corrente,Shawn Hatosy,United States,7000000,7302522,Miramax,01/09/1999
Kikujiro,PG-13,Drama,1999,7.8,19000,Takeshi Kitano,Takeshi Kitano,Japan,20500000,461259,Bandai Visual Company,26/05/2000
Simply Irresistible,PG-13,Comedy,1999,5.3,13000,Mark Tarlov,Sarah Michelle Gellar,Germany,6000000,4398989,New Regency Productions,05/02/1999
Godzilla 2000: Millennium,PG,Action,1999,6.1,7900,Takao Okawara,Takehiro Murata,Japan,13000000,12924063,Toho Pictures,18/08/2000
The Story of Us,R,Comedy,1999,6,22000,Rob Reiner,Bruce Willis,United States,50000000,58900031,Castle Rock Entertainment,15/10/1999
East Is East,R,Comedy,1999,6.9,17000,Damien O'Donnell,Om Puri,United Kingdom,20500000,4177818,FilmFour,02/06/2000
Pokémon the Movie 2000,G,Animation,1999,6.1,21000,Michael Haigney,Veronica Taylor,Japan,30000000,133949270,4 Kids Entertainment,21/07/2000
Sweet and Lowdown,PG-13,Comedy,1999,7.2,33000,Woody Allen,Sean Penn,United States,29750000,4525794,Sweetland Films,10/03/2000
Bats,PG-13,Horror,1999,3.9,9900,Louis Morneau,Lou Diamond Phillips,United States,5250000,10155690,Destination Films,22/10/1999
At First Sight,PG-13,Drama,1999,6,13000,Irwin Winkler,Val Kilmer,United States,60000000,22365133,Metro-Goldwyn-Mayer (MGM),15/01/1999
An Ideal Husband,PG-13,Comedy,1999,6.8,15000,Oliver Parker,Rupert Everett,United Kingdom,14000000,18542974,Arts Council of England,30/06/1999
Coming Soon,R,Comedy,1999,4.4,1600,Colette Burson,Bonnie Root,United States,20500000,5453,Bandeira Entertainment,17/04/1999
Tea with Mussolini,PG,Comedy,1999,6.9,12000,Franco Zeffirelli,Maggie Smith,Italy,12000000,14401563,Medusa Film,14/05/1999
Gloria,R,Crime,1999,5.2,5500,Sidney Lumet,Sharon Stone,United States,30000000,4197729,Columbia Pictures,22/01/1999
Cookie's Fortune,PG-13,Comedy,1999,6.9,13000,Robert Altman,Glenn Close,United States,10000000,10920544,Elysian Dreams,16/04/1999
Julien Donkey-Boy,R,Comedy,1999,6.8,6900,Harmony Korine,Ewen Bremner,United States,20500000,92442,391 Productions,13/09/2000
Three to Tango,PG-13,Comedy,1999,6.1,19000,Damon Santostefano,Neve Campbell,Australia,20000000,10570375,Warner Bros.,22/10/1999
